linea,tren_id,portador,estacion,dist_km,hora_min
L1,C-FEPASA-50009,FEPASA,SAN ROSENDO,4.0,471.0
L1,C-FEPASA-50009,FEPASA,Buenuraqui,8.467,709.0
L1,C-FEPASA-50009,FEPASA,Gomero,15.324,736.0
L1,C-FEPASA-50009,FEPASA,Talcamávida,22.798,749.0
L1,C-FEPASA-50009,FEPASA,Unihue,29.397,759.0
L1,C-FEPASA-50009,FEPASA,Quilacoya,36.53,777.0
L1,C-FEPASA-50009,FEPASA,Hualqui,46.917,801.0
L1,C-FEPASA-50009,FEPASA,La Leonera,55.32,814.0
L1,C-FEPASA-50009,FEPASA,Chiguayante,60.31,819.0
L1,C-FEPASA-50009,FEPASA,CONCEPCIÓN,68.521,835.0
L1,C-FEPASA-50009,FEPASA,EL ARENAL,82.79,857.0
L1,C-FEPASA-50011,FEPASA,SAN ROSENDO,4.0,50.0
L1,C-FEPASA-50011,FEPASA,Buenuraqui,8.467,72.0
L1,C-FEPASA-50011,FEPASA,Gomero,15.324,102.0
L1,C-FEPASA-50011,FEPASA,Talcamávida,22.798,115.0
L1,C-FEPASA-50011,FEPASA,Unihue,29.397,137.0
L1,C-FEPASA-50011,FEPASA,Quilacoya,36.53,150.0
L1,C-FEPASA-50011,FEPASA,Hualqui,46.917,166.0
L1,C-FEPASA-50011,FEPASA,La Leonera,55.32,179.0
L1,C-FEPASA-50011,FEPASA,Chiguayante,60.31,184.0
L1,C-FEPASA-50011,FEPASA,CONCEPCIÓN,68.521,200.0
L1,C-FEPASA-50011,FEPASA,EL ARENAL,82.79,222.0
L1,C-FEPASA-50012,FEPASA,SAN ROSENDO,4.0,938.0
L1,C-FEPASA-50012,FEPASA,Buenuraqui,8.467,982.0
L1,C-FEPASA-50012,FEPASA,Gomero,15.324,1025.0
L1,C-FEPASA-50012,FEPASA,Talcamávida,22.798,1058.0
L1,C-FEPASA-50012,FEPASA,Quilacoya,36.53,1112.0
L1,C-FEPASA-50012,FEPASA,La Leonera,55.32,1121.0
L1,C-FEPASA-50050,FEPASA,Laja,1.6,164.0
L1,C-FEPASA-50050,FEPASA,SAN ROSENDO,4.0,208.0
L1,C-FEPASA-50050,FEPASA,Buenuraqui,8.467,225.0
L1,C-FEPASA-50050,FEPASA,Gomero,15.324,237.0
L1,C-FEPASA-50050,FEPASA,Talcamávida,22.798,250.0
L1,C-FEPASA-50050,FEPASA,Unihue,29.397,260.0
L1,C-FEPASA-50050,FEPASA,Quilacoya,36.53,272.0
L1,C-FEPASA-50050,FEPASA,Hualqui,46.917,287.0
L1,C-FEPASA-50050,FEPASA,La Leonera,55.32,298.0
L1,C-FEPASA-50050,FEPASA,Chiguayante,60.31,304.0
L1,C-FEPASA-50050,FEPASA,CONCEPCIÓN,68.521,318.0
L2,C-FEPASA-50050,FEPASA,CONCEPCIÓN,1.0,318.0
L2,C-FEPASA-50050,FEPASA,BIOBÍO,3.351,328.0
L2,C-FEPASA-50050,FEPASA,Boca Sur,7.439,390.0
L2,C-FEPASA-50050,FEPASA,Lomas Coloradas,11.026,395.0
L2,C-FEPASA-50050,FEPASA,Escuadrón,19.398,404.0
L2,C-FEPASA-50050,FEPASA,Lagunillas,23.804,410.0
L2,C-FEPASA-50050,FEPASA,CORONEL,27.355,416.0
L1,C-FEPASA-50051,FEPASA,Laja,1.6,936.0
L1,C-FEPASA-50051,FEPASA,SAN ROSENDO,4.0,958.0
L1,C-FEPASA-50051,FEPASA,Gomero,15.324,986.0
L1,C-FEPASA-50051,FEPASA,Unihue,29.397,996.0
L1,C-FEPASA-50051,FEPASA,Quilacoya,36.53,1057.0
L1,C-FEPASA-50051,FEPASA,Hualqui,46.917,1084.0
L1,C-FEPASA-50051,FEPASA,Chiguayante,60.31,1105.0
L2,C-FEPASA-50051,FEPASA,BIOBÍO,3.351,785.0
L2,C-FEPASA-50051,FEPASA,Boca Sur,7.439,791.0
L2,C-FEPASA-50051,FEPASA,Lomas Coloradas,11.026,797.0
L2,C-FEPASA-50051,FEPASA,Escuadrón,19.398,806.0
L2,C-FEPASA-50051,FEPASA,Lagunillas,23.804,811.0
L2,C-FEPASA-50051,FEPASA,CORONEL,27.355,816.0
L1,C-FEPASA-50052,FEPASA,Laja,1.6,437.0
L1,C-FEPASA-50052,FEPASA,SAN ROSENDO,4.0,488.0
L1,C-FEPASA-50052,FEPASA,Buenuraqui,8.467,527.0
L1,C-FEPASA-50052,FEPASA,Gomero,15.324,553.0
L1,C-FEPASA-50052,FEPASA,Talcamávida,22.798,566.0
L1,C-FEPASA-50052,FEPASA,Unihue,29.397,585.0
L1,C-FEPASA-50052,FEPASA,Quilacoya,36.53,597.0
L1,C-FEPASA-50052,FEPASA,Hualqui,46.917,612.0
L1,C-FEPASA-50052,FEPASA,La Leonera,55.32,623.0
L1,C-FEPASA-50052,FEPASA,Chiguayante,60.31,646.0
L1,C-FEPASA-50052,FEPASA,CONCEPCIÓN,68.521,660.0
L1,C-FEPASA-50052,FEPASA,EL ARENAL,82.79,700.0
L2,C-FEPASA-50052,FEPASA,CONCEPCIÓN,1.0,660.0
L2,C-FEPASA-50052,FEPASA,Biobío,3.351,670.0
L2,C-FEPASA-50052,FEPASA,Boca Sur,7.439,675.0
L2,C-FEPASA-50052,FEPASA,Lomas Coloradas,11.026,680.0
L2,C-FEPASA-50052,FEPASA,Escuadrón,19.398,689.0
L2,C-FEPASA-50052,FEPASA,Lagunillas,23.804,695.0
L2,C-FEPASA-50052,FEPASA,CORONEL,27.355,701.0
L1,C-FEPASA-50053,FEPASA,CONCEPCIÓN,68.521,5.0
L1,C-FEPASA-50053,FEPASA,LA LEONERA,55.32,990.0
L1,C-FEPASA-50053,FEPASA,SAN ROSENDO,4.0,1210.0
L2,C-FEPASA-50053,FEPASA,CONCEPCIÓN,1.0,5.0
L2,C-FEPASA-50053,FEPASA,Biobío,3.351,1021.0
L2,C-FEPASA-50053,FEPASA,Lomas Coloradas,11.026,1031.0
L2,C-FEPASA-50053,FEPASA,Lagunillas,23.804,1055.0
L1,C-FEPASA-50054,FEPASA,Laja,1.6,702.0
L1,C-FEPASA-50054,FEPASA,SAN ROSENDO,4.0,743.0
L1,C-FEPASA-50054,FEPASA,Buenuraqui,8.467,760.0
L1,C-FEPASA-50054,FEPASA,Gomero,15.324,772.0
L1,C-FEPASA-50054,FEPASA,Talcamávida,22.798,785.0
L1,C-FEPASA-50054,FEPASA,Unihue,29.397,795.0
L1,C-FEPASA-50054,FEPASA,Quilacoya,36.53,814.0
L1,C-FEPASA-50054,FEPASA,Hualqui,46.917,829.0
L1,C-FEPASA-50054,FEPASA,La Leonera,55.32,840.0
L1,C-FEPASA-50054,FEPASA,Chiguayante,60.31,866.0
L1,C-FEPASA-50054,FEPASA,CONCEPCIÓN,68.521,880.0
L1,C-FEPASA-50054,FEPASA,EL ARENAL,82.79,920.0
L2,C-FEPASA-50054,FEPASA,CONCEPCIÓN,1.0,880.0
L2,C-FEPASA-50054,FEPASA,Biobío,3.351,891.0
L2,C-FEPASA-50054,FEPASA,Boca Sur,7.439,897.0
L2,C-FEPASA-50054,FEPASA,Lomas Coloradas,11.026,903.0
L2,C-FEPASA-50054,FEPASA,Escuadrón,19.398,913.0
L2,C-FEPASA-50054,FEPASA,Lagunillas,23.804,920.0
L2,C-FEPASA-50054,FEPASA,CORONEL,27.355,927.0
L1,C-FEPASA-50055,FEPASA,SAN ROSENDO,4.0,45.0
L1,C-FEPASA-50055,FEPASA,Buenuraqui,8.467,67.0
L1,C-FEPASA-50055,FEPASA,Gomero,15.324,79.0
L1,C-FEPASA-50055,FEPASA,Talcamávida,22.798,90.0
L1,C-FEPASA-50055,FEPASA,Unihue,29.397,107.0
L1,C-FEPASA-50055,FEPASA,Quilacoya,36.53,117.0
L1,C-FEPASA-50055,FEPASA,Hualqui,46.917,194.0
L1,C-FEPASA-50055,FEPASA,La Leonera,55.32,221.0
L1,C-FEPASA-50055,FEPASA,Chiguayante,60.31,1366.0
L1,C-FEPASA-50055,FEPASA,CONCEPCIÓN,68.521,1381.0
L1,C-FEPASA-50056,FEPASA,Laja,1.6,1182.0
L1,C-FEPASA-50056,FEPASA,SAN ROSENDO,4.0,1190.0
L1,C-FEPASA-50056,FEPASA,Buenuraqui,8.467,1272.0
L1,C-FEPASA-50056,FEPASA,Gomero,15.324,1284.0
L1,C-FEPASA-50056,FEPASA,Talcamávida,22.798,1297.0
L1,C-FEPASA-50056,FEPASA,Unihue,29.397,1307.0
L1,C-FEPASA-50056,FEPASA,Quilacoya,36.53,1319.0
L1,C-FEPASA-50056,FEPASA,Hualqui,46.917,1342.0
L1,C-FEPASA-50056,FEPASA,La Leonera,55.32,1368.0
L1,C-FEPASA-50056,FEPASA,Chiguayante,60.31,1374.0
L1,C-FEPASA-50056,FEPASA,CONCEPCIÓN,68.521,1388.0
L1,C-FEPASA-50056,FEPASA,EL ARENAL,82.79,1413.0
L2,C-FEPASA-50056,FEPASA,CONCEPCIÓN,1.0,1388.0
L2,C-FEPASA-50056,FEPASA,Biobío,3.351,1398.0
L2,C-FEPASA-50056,FEPASA,Boca Sur,7.439,1403.0
L2,C-FEPASA-50056,FEPASA,Lomas Coloradas,11.026,1408.0
L2,C-FEPASA-50056,FEPASA,Escuadrón,19.398,1417.0
L2,C-FEPASA-50056,FEPASA,Lagunillas,23.804,1423.0
L2,C-FEPASA-50056,FEPASA,CORONEL,27.355,1429.0
L1,C-FEPASA-50057,FEPASA,CONCEPCIÓN,68.521,320.0
L1,C-FEPASA-50057,FEPASA,Laja,1.6,431.0
L2,C-FEPASA-50057,FEPASA,CONCEPCIÓN,1.0,320.0
L2,C-FEPASA-50057,FEPASA,Biobío,3.351,326.0
L2,C-FEPASA-50057,FEPASA,Boca Sur,7.439,332.0
L2,C-FEPASA-50057,FEPASA,Lomas Coloradas,11.026,341.0
L2,C-FEPASA-50057,FEPASA,Escuadrón,19.398,346.0
L2,C-FEPASA-50057,FEPASA,Lagunillas,23.804,351.0
L2,C-FEPASA-50057,FEPASA,CORONEL,27.355,361.0
L1,C-FEPASA-50083,FEPASA,Laja,1.6,273.0
L1,C-FEPASA-50083,FEPASA,SAN ROSENDO,4.0,294.0
L1,C-FEPASA-50083,FEPASA,Buenuraqui,8.467,313.0
L1,C-FEPASA-50083,FEPASA,Gomero,15.324,338.0
L1,C-FEPASA-50083,FEPASA,Talcamávida,22.798,372.0
L1,C-FEPASA-50083,FEPASA,Unihue,29.397,388.0
L1,C-FEPASA-50083,FEPASA,Hualqui,46.917,494.0
L1,C-FEPASA-50083,FEPASA,La Leonera,55.32,518.0
L1,C-FEPASA-50083,FEPASA,Chiguayante,60.31,548.0
L1,C-FEPASA-50083,FEPASA,CONCEPCIÓN,68.521,573.0
L1,C-FEPASA-50084,FEPASA,Laja,1.6,469.0
L1,C-FEPASA-50084,FEPASA,SAN ROSENDO,4.0,477.0
L1,C-FEPASA-50084,FEPASA,Buenuraqui,8.467,572.0
L1,C-FEPASA-50084,FEPASA,Gomero,15.324,584.0
L1,C-FEPASA-50084,FEPASA,Talcamávida,22.798,604.0
L1,C-FEPASA-50084,FEPASA,Unihue,29.397,614.0
L1,C-FEPASA-50084,FEPASA,Quilacoya,36.53,627.0
L1,C-FEPASA-50084,FEPASA,Hualqui,46.917,643.0
L1,C-FEPASA-50084,FEPASA,La Leonera,55.32,671.0
L1,C-FEPASA-50084,FEPASA,Chiguayante,60.31,703.0
L1,C-FEPASA-50084,FEPASA,CONCEPCIÓN,68.521,719.0
L1,C-FEPASA-50084,FEPASA,EL ARENAL,82.79,741.0
L1,C-FEPASA-50089,FEPASA,Chiguayante,60.31,0.0
L1,C-FEPASA-50089,FEPASA,SAN ROSENDO,4.0,1286.0
L1,C-FEPASA-50090,FEPASA,EL ARENAL,82.79,580.0
L1,C-FEPASA-50090,FEPASA,CONCEPCIÓN,68.521,600.0
L1,C-FEPASA-50090,FEPASA,Chiguayante,60.31,617.0
L1,C-FEPASA-50090,FEPASA,La Leonera,55.32,624.0
L1,C-FEPASA-50090,FEPASA,Hualqui,46.917,637.0
L1,C-FEPASA-50090,FEPASA,Quilacoya,36.53,661.0
L1,C-FEPASA-50090,FEPASA,Unihue,29.397,673.0
L1,C-FEPASA-50090,FEPASA,Talcamávida,22.798,683.0
L1,C-FEPASA-50090,FEPASA,Gomero,15.324,712.0
L1,C-FEPASA-50090,FEPASA,Buenuraqui,8.467,724.0
L1,C-FEPASA-50090,FEPASA,SAN ROSENDO,4.0,738.0
L1,C-FEPASA-50091,FEPASA,SAN ROSENDO,4.0,771.0
L1,C-FEPASA-50091,FEPASA,Buenuraqui,8.467,808.0
L1,C-FEPASA-50091,FEPASA,Gomero,15.324,824.0
L1,C-FEPASA-50091,FEPASA,Talcamávida,22.798,837.0
L1,C-FEPASA-50091,FEPASA,Unihue,29.397,847.0
L1,C-FEPASA-50091,FEPASA,EL ARENAL,82.79,862.0
L1,C-FEPASA-50092,FEPASA,CONCEPCIÓN,68.521,55.0
L1,C-FEPASA-50092,FEPASA,EL ARENAL,82.79,1415.0
L2,C-FEPASA-50092,FEPASA,BIOBÍO,3.351,44.0
L2,C-FEPASA-50092,FEPASA,CONCEPCIÓN,1.0,55.0
L1,C-FEPASA-50112,FEPASA,EL ARENAL,82.79,620.0
L1,C-FEPASA-50112,FEPASA,CONCEPCIÓN,68.521,638.0
L1,C-FEPASA-50112,FEPASA,Chiguayante,60.31,652.0
L1,C-FEPASA-50112,FEPASA,LA LEONERA,55.32,657.0
L1,C-FEPASA-50450,FEPASA,EL ARENAL,82.79,275.0
L1,C-FEPASA-50450,FEPASA,CONCEPCIÓN,68.521,293.0
L2,C-FEPASA-50450,FEPASA,CONCEPCIÓN,1.0,293.0
L2,C-FEPASA-50450,FEPASA,BIOBÍO,3.351,303.0
L1,C-FEPASA-50451,FEPASA,CONCEPCIÓN,68.521,791.0
L1,C-FEPASA-50451,FEPASA,EL ARENAL,82.79,818.0
L2,C-FEPASA-50451,FEPASA,BIOBÍO,3.351,775.0
L2,C-FEPASA-50451,FEPASA,CONCEPCIÓN,1.0,791.0
L1,C-FEPASA-50452,FEPASA,EL ARENAL,82.79,570.0
L1,C-FEPASA-50452,FEPASA,CONCEPCIÓN,68.521,588.0
L1,C-FEPASA-50452,FEPASA,Chiguayante,60.31,599.0
L1,C-FEPASA-50452,FEPASA,LA LEONERA,55.32,603.0
L1,C-FEPASA-50453,FEPASA,LA LEONERA,55.32,1080.0
L1,C-FEPASA-50453,FEPASA,Chiguayante,60.31,1096.0
L1,C-FEPASA-50453,FEPASA,EL ARENAL,82.79,1170.0
L1,C-FEPASA-50454,FEPASA,EL ARENAL,82.79,770.0
L1,C-FEPASA-50454,FEPASA,CONCEPCIÓN,68.521,788.0
L1,C-FEPASA-50454,FEPASA,Chiguayante,60.31,799.0
L1,C-FEPASA-50454,FEPASA,LA LEONERA,55.32,803.0
L1,C-FEPASA-50455,FEPASA,LA LEONERA,55.32,1345.0
L1,C-FEPASA-50455,FEPASA,Chiguayante,60.31,1361.0
L1,C-FEPASA-50455,FEPASA,EL ARENAL,82.79,1370.0
L1,C-FEPASA-50483,FEPASA,LA LEONERA,55.32,1230.0
