linea,bloque_km,tren,espera_min,estacion_espera,hora
L2,1.0-3.1,L2-CC->CW-20001,9.5,CONCEPCIÓN,405.0
L2,1.0-3.1,L2-CC->CW-20003,15.5,CONCEPCIÓN,417.0
L2,1.0-3.1,L2-CC->CW-20005,9.5,CONCEPCIÓN,433.0
L2,1.0-3.1,L2-CC->CW-20009,26.5,CONCEPCIÓN,445.0
L2,1.0-3.1,L2-CC->CW-20011,9.5,CONCEPCIÓN,462.0
L2,1.0-3.1,L2-CC->CW-20015,31.5,CONCEPCIÓN,474.0
L2,1.0-3.1,L2-CC->CW-20017,8.5,CONCEPCIÓN,497.0
L2,1.0-3.1,L2-CC->CW-20023,8.5,CONCEPCIÓN,508.0
L2,1.0-3.1,L2-CC->CW-20025,9.5,CONCEPCIÓN,519.0
L2,1.0-3.1,L2-CC->CW-20035,7.5,CONCEPCIÓN,590.0
L2,1.0-3.1,L2-CC->CW-20041,7.5,CONCEPCIÓN,630.0
L2,1.0-3.1,L2-CC->CW-20053,7.5,CONCEPCIÓN,730.0
L2,1.0-3.1,L2-CC->CW-20071,7.5,CONCEPCIÓN,1000.0
L2,1.0-3.1,L2-CC->CW-20077,8.5,CONCEPCIÓN,1044.0
L2,1.0-3.1,L2-CC->CW-20079,8.5,CONCEPCIÓN,1056.0
L2,1.0-3.1,L2-CC->CW-20083,8.5,CONCEPCIÓN,1068.0
L2,1.0-3.1,L2-CC->CW-20085,8.5,CONCEPCIÓN,1080.0
L2,1.0-3.1,L2-CC->CW-20087,8.5,CONCEPCIÓN,1092.0
L2,1.0-3.1,L2-CC->CW-20089,8.5,CONCEPCIÓN,1104.0
L2,1.0-3.1,L2-CC->CW-20091,8.5,CONCEPCIÓN,1116.0
L2,1.0-3.1,L2-CC->CW-20093,8.5,CONCEPCIÓN,1128.0
L2,1.0-3.1,L2-CC->CW-20095,8.5,CONCEPCIÓN,1140.0
L2,1.0-3.1,L2-CC->CW-20099,8.5,CONCEPCIÓN,1157.0
L1,57.0-58.6,L1-TH->LJ-20300,0.5,Manquimávida,431.0
L1,58.6-59.4,L1-TH->LJ-20300,3.4,Pedro Medina,430.1
L1,68.5-68.8,L1-TH->LJ-20300,6.2,CONCEPCIÓN,414.7
L1,36.5-46.9,L1-TH->LJ-20841,1.5,QUILACOYA,478.0
L1,61.3-68.5,L1-TH->LJ-20841,0.5,CHIGUAYANTE,445.0
L1,68.5-68.8,L1-TH->LJ-20841,8.2,CONCEPCIÓN,444.7
L1,76.1-79.2,L1-TH->LJ-20841,2.5,UTF Santa María,431.0
L1,57.0-58.6,L1-LJ->TH-20305,3.5,Manquimávida,462.0
L1,57.0-58.6,L1-TH->LJ-20304,4.5,Manquimávida,491.0
L1,61.3-68.5,L1-TH->LJ-20304,3.5,CHIGUAYANTE,475.0
L1,76.1-79.2,L1-TH->LJ-20304,4.5,UTF Santa María,461.0
L1,81.4-82.8,L1-TH->LJ-20304,8.5,Hospital Las Higueras,454.0
L1,61.3-68.5,L1-TH->LJ-20362,13.5,CHIGUAYANTE,465.0
L1,61.3-68.5,L1-TH->LJ-20865,3.5,CHIGUAYANTE,505.0
L1,76.1-79.2,L1-TH->LJ-20865,4.5,UTF Santa María,491.0
L1,61.3-68.5,L1-TH->LJ-20364,13.5,CHIGUAYANTE,495.0
L1,79.2-81.4,L1-TH->LJ-20390,0.5,Los Cóndores,498.0
L1,81.4-82.8,L1-TH->LJ-20390,7.5,Hospital Las Higueras,495.0
L1,72.9-76.1,L1-LJ->TH-20353,4.5,Lorenzo Arenas,505.0
L1,57.0-58.6,L1-LJ->TH-20371,3.5,Manquimávida,507.0
L1,61.3-68.5,L1-LJ->TH-20371,17.4,CHIGUAYANTE,515.1
L1,57.0-58.6,L1-LJ->TH-20309,2.5,Manquimávida,522.0
L1,61.3-68.5,L1-LJ->TH-20309,2.4,CHIGUAYANTE,530.1
L1,61.3-68.5,L1-TH->LJ-20308,3.5,CHIGUAYANTE,535.0
L1,76.1-79.2,L1-TH->LJ-20308,4.5,UTF Santa María,521.0
L1,81.4-82.8,L1-TH->LJ-20308,6.5,Hospital Las Higueras,514.0
L1,72.9-76.1,L1-TH->LJ-20374,4.5,Lorenzo Arenas,535.0
L1,79.2-81.4,L1-TH->LJ-20374,0.5,Los Cóndores,528.0
L1,81.4-82.8,L1-TH->LJ-20374,7.5,Hospital Las Higueras,525.0
L1,57.0-58.6,L1-LJ->TH-20373,2.5,Manquimávida,537.0
L1,61.3-68.5,L1-LJ->TH-20373,17.4,CHIGUAYANTE,545.1
L1,76.1-79.2,L1-TH->LJ-20310,4.5,UTF Santa María,551.0
L1,81.4-82.8,L1-TH->LJ-20310,6.5,Hospital Las Higueras,544.0
L1,57.0-58.6,L1-LJ->TH-20311,2.5,Manquimávida,567.0
L1,61.3-68.5,L1-LJ->TH-20311,2.4,CHIGUAYANTE,575.1
L1,57.0-58.6,L1-LJ->TH-20377,2.5,Manquimávida,582.0
L1,61.3-68.5,L1-TH->LJ-20312,3.5,CHIGUAYANTE,625.0
L1,76.1-79.2,L1-TH->LJ-20312,4.5,UTF Santa María,611.0
L1,81.4-82.8,L1-TH->LJ-20312,3.5,Hospital Las Higueras,604.0
L1,58.6-59.4,L1-TH->LJ-20843,0.4,Pedro Medina,754.1
L1,61.3-68.5,L1-TH->LJ-20318,10.5,CHIGUAYANTE,955.0
L1,57.0-58.6,L1-LJ->TH-20321,2.5,Manquimávida,972.0
L1,61.3-68.5,L1-TH->LJ-20320,3.5,CHIGUAYANTE,985.0
L1,72.9-76.1,L1-TH->LJ-20320,3.5,Lorenzo Arenas,975.0
L1,57.0-58.6,L1-LJ->TH-20323,2.5,Manquimávida,1002.0
L1,61.3-68.5,L1-TH->LJ-20376,8.5,CHIGUAYANTE,1010.0
L1,72.9-76.1,L1-TH->LJ-20376,1.5,Lorenzo Arenas,1000.0
L1,68.5-68.8,L1-TH->LJ-20250,2.2,CONCEPCIÓN,1020.7
L1,79.2-81.4,L1-TH->LJ-20250,1.9,CONCEPCIÓN,1006.6
L1,57.0-58.6,L1-LJ->TH-20325,2.5,Manquimávida,1032.0
L1,61.3-68.5,L1-TH->LJ-20322,3.5,CHIGUAYANTE,1045.0
L1,76.1-79.2,L1-TH->LJ-20322,4.5,UTF Santa María,1031.0
L1,76.1-79.2,L1-TH->LJ-20324,4.5,UTF Santa María,1061.0
L1,58.6-59.4,L1-LJ->TH-20379,1.5,Pedro Medina,1060.0
L1,68.5-68.8,L1-LJ->TH-20379,2.5,CONCEPCIÓN,1073.0
L1,57.0-58.6,L1-LJ->TH-20327,2.5,Manquimávida,1092.0
L1,61.3-68.5,L1-TH->LJ-20326,3.5,CHIGUAYANTE,1105.0
L1,76.1-79.2,L1-TH->LJ-20326,2.5,UTF Santa María,1091.0
L1,57.0-58.6,L1-LJ->TH-20329,2.5,Manquimávida,1122.0
L1,68.5-68.8,L1-TH->LJ-20256,0.2,CONCEPCIÓN,1142.6
L1,79.2-81.4,L1-TH->LJ-20256,1.7,CONCEPCIÓN,1126.8
L1,61.3-68.5,L1-TH->LJ-20328,3.5,CHIGUAYANTE,1165.0
L1,76.1-79.2,L1-TH->LJ-20328,4.5,UTF Santa María,1151.0
L1,76.1-79.2,L1-TH->LJ-20330,4.5,UTF Santa María,1181.0
L1,57.0-58.6,L1-LJ->TH-20333,2.5,Manquimávida,1212.0
L1,61.3-68.5,L1-TH->LJ-20332,3.5,CHIGUAYANTE,1225.0
L1,36.5-46.9,L1-TH->LJ-20855,0.5,QUILACOYA,1311.0
L1,46.9-53.2,L1-TH->LJ-20855,13.5,HUALQUI,1305.0
L1,81.4-82.8,L1-TH->LJ-20855,5.5,Hospital Las Higueras,1258.0
L1,61.3-68.5,L1-LJ->TH-20335,11.4,CHIGUAYANTE,1280.1
L1,61.3-68.5,L1-LJ->TH-20269,6.3,CHIGUAYANTE,1285.2
L1,68.5-68.8,L1-TH->LJ-20270,5.2,CONCEPCIÓN,1339.6
